Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
warmup,5,1,4105328976,foo,21,42,598977,39872,39903,false
order,5,1,4105328976,ac|^c|y$|o.$,16,37,65513,4556,37917,false
order,5,1,6370951248,^c|o[^e]t?$|yi?$,16,37,258706,12798,31908,false
warmup,5,1,6370951248,foo,21,42,7182,594,39096,false
order,5,2,9431657082,^c|o[^e]$|y$,15,36,283675,13563,36549,false
warmup,5,2,9431657082,foo,21,42,342896,21611,38799,false
order,5,3,1874029365,^f|^m?^a|os|^c,16,37,523296,27876,33533,false
warmup,5,3,1874029365,f(oo),21,42,204632,14157,46846,false
order,5,4,5691784320,em|ch|lo|y$,15,36,79807,4907,37439,false
warmup,5,4,5691784320,foo,21,42,288246,18939,40580,false
order,5,5,8392760514,os|^c|^a|y$,16,37,263663,15126,37252,false
warmup,5,5,8392760514,foo,21,42,547274,40877,44502,false
order,5,6,4612780539,lo|^c|y$,14,35,202256,10032,31955,false
order,5,7,8261384957,lo|^c|[^r]y$,15,36,257492,17001,36080,false
warmup,5,6,4612780539,foo,21,42,467464,34361,44549,false
order,5,8,2463075891,o.$|^c|y$,15,36,97723,7454,36127,false
warmup,5,7,8261384957,foo,21,42,379056,34908,51659,false
order,5,9,9135874206,^c|^a|lo|y$,15,36,236619,13266,35501,false
order,5,10,7095231486,^c|lo|os,15,36,55185,2891,29470,false
warmup,5,8,2463075891,foo,21,42,15570,1266,49502,false
order,5,11,9842301657,^rc|^a|y$|^c|t$,16,37,443345,27392,36876,false
warmup,5,9,9135874206,f[^]o,21,42,296237,21048,43065,false
order,5,12,2196735084,^c|os|lo|y$,16,37,262151,14985,36283,false
warmup,5,10,7095231486,foo,21,42,413150,26033,37971,false
order,5,13,9067852413,e?[^e]t$|^c|^a|y$,17,38,143522,11610,37564,false
warmup,5,11,9842301657,foo,21,42,519521,39330,44674,false
order,5,14,2405681973,t$|^i?c|^a|y$,16,37,141901,10829,39361,false
warmup,5,12,2196735084,foo,21,42,257093,16266,41111,false
order,5,15,2738495106,lo|be|^c|y$,16,37,197994,14563,37486,false
